,Code,Name,City,Country,Altitude,Latitude,Longitude
3500,ENV,WENDOVER,WENDOVER,USA,1291,40.719,-114.031
3501,ESF,ESLER RGNL,ALEXANDRIA,USA,35,31.395,-92.296
3502,EWN,CRAVEN CO RGNL,NEW BERN,USA,6,35.073,-77.043
3503,EWR,NEWARK LIBERTY INTERNATIONAL,NEWARK,USA,6,40.692,-74.169
3504,EYW,KEY WEST INTERNATIONAL,KEY WEST,USA,1,24.556,-81.759
3505,FAF,FELKER AAF,FORT EUSTIS,USA,4,37.133,-76.609
3506,FAT,FRESNO YOSEMITE INTERNATIONAL,FRESNO,USA,103,36.776,-119.718
3507,FCS,BUTTS AAF,FORT CARSON,USA,1780,38.678,-104.756
3508,FFO,WRIGHT PATTERSON AFB,DAYTON,USA,251,39.826,-84.048
3509,FHU,SIERRA VISTA MUNI LIBBY AAF,FORT HUACHUCA,USA,1439,31.588,-110.344
3510,FLL,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL,FORT LAUDERDALE,USA,3,26.072,-80.153
3511,FLO,FLORENCE RGNL,FLORENCE,USA,45,34.185,-79.724
3512,FLV,SHERMAN AAF,FORT LEAVENWORTH,USA,236,39.368,-94.914
3513,,TIPTON,FORT MEADE,USA,46,39.085,-76.759
3514,FMH,OTIS ANGB,FALMOUTH,USA,40,41.658,-70.521
3515,FMN,FOUR CORNERS RGNL,FARMINGTON,USA,1679,36.741,-108.23
3516,FMY,PAGE FLD,FORT MYERS,USA,6,26.586,-81.863
3517,FOD,FORT DODGE RGNL,FORT DODGE,USA,353,42.551,-94.193
3518,FOE,FORBES FLD,TOPEKA,USA,329,38.951,-95.664
3519,FOK,THE FRANCIS S GABRESKI,WEST HAMPTON BEACH,USA,21,40.844,-72.632
3520,FRI,MARSHALL AAF,FORT RILEY,USA,325,39.055,-96.764
3521,FSI,HENRY POST AAF,FORT SILL,USA,363,34.65,-98.402
3522,FSM,FORT SMITH RGNL,FORT SMITH,USA,143,35.336,-94.367
3523,FTK,GODMAN AAF,FORT KNOX,USA,231,37.907,-85.972
