,airline,airline_id,source,source_id,dest,dest_id,equipment
59773,US,5265,MIA,3576,SFO,3469,763 757 738
59808,US,5265,MSP,3858,DCA,3520,E75 E70
59810,US,5265,MSP,3858,MIA,3576,738
59811,US,5265,MSP,3858,ORD,3830,E75
59879,US,5265,ORD,3830,BOS,3448,738
59896,US,5265,ORD,3830,DCA,3520,738 M83
59897,US,5265,ORD,3830,DEN,3751,CR7
59921,US,5265,ORD,3830,JFK,3797,738
59922,US,5265,ORD,3830,LAS,3877,738 M83
59923,US,5265,ORD,3830,LAX,3484,738
59925,US,5265,ORD,3830,LGA,3697,738
59937,US,5265,ORD,3830,MIA,3576,738 763
59942,US,5265,ORD,3830,MSP,3858,E75
59966,US,5265,ORD,3830,SEA,3577,738
59967,US,5265,ORD,3830,SFO,3469,738
60343,US,5265,SEA,3577,JFK,3797,738
60344,US,5265,SEA,3577,MIA,3576,757
60345,US,5265,SEA,3577,ORD,3830,738
60354,US,5265,SFO,3469,JFK,3797,763 32B
60355,US,5265,SFO,3469,LAX,3484,738
60356,US,5265,SFO,3469,MIA,3576,757 763 738
60357,US,5265,SFO,3469,ORD,3830,738
